spectrum_id,mineral_id,source,instrument,sample_name
SPC-000215,3,USGS,ASD,WS487
SPC-000216,3,USGS,ASD,WS488
SPC-000217,4,RELAB,UNKNOWN,bir1jg014
SPC-000218,4,RELAB,UNKNOWN,bir1jg015
SPC-000219,4,RELAB,UNKNOWN,bir1jg016
SPC-000220,4,RELAB,UNKNOWN,bir1jg017
SPC-000221,4,RELAB,UNKNOWN,bir1jg018
SPC-000222,4,RELAB,UNKNOWN,bir1jg019
SPC-000223,4,RELAB,UNKNOWN,bir1jg020
SPC-000224,4,RELAB,UNKNOWN,bir1jg021
SPC-000225,4,RELAB,UNKNOWN,bir1mx084c
SPC-000226,4,RELAB,UNKNOWN,bir1mx085c
SPC-000227,4,RELAB,UNKNOWN,bir1mx086c
SPC-000228,4,RELAB,UNKNOWN,bir1mx086g
SPC-000229,4,RELAB,UNKNOWN,bir1mx086h
SPC-000230,4,RELAB,UNKNOWN,bir1mx087c
SPC-000231,4,RELAB,UNKNOWN,bir1mx088c
SPC-000232,4,RELAB,UNKNOWN,bir1mx089c
SPC-000233,4,RELAB,UNKNOWN,bir1mx090c
SPC-000234,4,RELAB,UNKNOWN,bir1mx091c
SPC-000235,4,RELAB,UNKNOWN,bir1mx092c
SPC-000236,4,RELAB,UNKNOWN,bir1mx093c
SPC-000237,4,RELAB,UNKNOWN,bir1mx094c
SPC-000238,4,RELAB,UNKNOWN,bir1mx097c
SPC-000239,4,RELAB,UNKNOWN,c1fb12
SPC-000240,4,RELAB,UNKNOWN,c1jg14
SPC-000241,4,RELAB,UNKNOWN,c1jg15
SPC-000242,4,RELAB,UNKNOWN,c1jg16
SPC-000243,4,RELAB,UNKNOWN,c1jg17
SPC-000244,4,RELAB,UNKNOWN,c1jg18
SPC-000245,4,RELAB,UNKNOWN,c1jg19
SPC-000246,4,RELAB,UNKNOWN,c1jg20
SPC-000247,4,RELAB,UNKNOWN,c1jg21
SPC-000248,4,RELAB,UNKNOWN,c1ls08
SPC-000249,4,RELAB,UNKNOWN,c1ls13
SPC-000250,4,RELAB,UNKNOWN,c1mm31
SPC-000251,4,RELAB,UNKNOWN,c1mm40
SPC-000252,4,RELAB,UNKNOWN,c1mm41
SPC-000253,4,RELAB,UNKNOWN,c1mr04
SPC-000254,4,RELAB,UNKNOWN,c1mt68
SPC-000255,4,RELAB,UNKNOWN,c1mt69
SPC-000256,4,RELAB,UNKNOWN,c1mt70
SPC-000257,4,RELAB,UNKNOWN,c1mt71
SPC-000258,4,RELAB,UNKNOWN,c1mt72
SPC-000259,4,RELAB,UNKNOWN,c1mt73
SPC-000260,4,RELAB,UNKNOWN,c1mt74
SPC-000261,4,RELAB,UNKNOWN,c1mx84c2
SPC-000262,4,RELAB,UNKNOWN,c1mx85c2
SPC-000263,4,RELAB,UNKNOWN,c1mx86c2
