GSUID,spectrum_id,crystal_system,space_group,symmetry_rank,symmetry_index,symmetry_complexity_score
676db0e325cfc89641f9fd1b937abb63dcfe00dc,SPC-000197,Cubic,Ia-3d,7,1.0,0.0
677d8fb9ced45cb93782958284c3f6e6c4d815b5,SPC-000133,Cubic,Ia-3d,7,1.0,0.0
678537989a23f9649b23073a94afa9d4a37a0907,SPC-001400,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
679037ca121e366ec610e61251dbf4b7e6dd0bf1,SPC-001176,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
67a5002d8048b95edca92365d0678d41587e646d,SPC-001542,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
67a8885321726c134019c339e5536892400910fa,SPC-001795,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
67aef04dbc2b4f7d2a6ae761ce1db35e312545bb,SPC-000902,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
67f8400ede303c625ee4b3a1237f20f8773450f6,SPC-001028,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
681bb963a87c4964813795e1e61c80c6326b8c32,SPC-000837,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
681fc6be46ce4abda37f6f647c13a3663df484ff,SPC-000867,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
683137a62b27ca60071d328c81e40de2da98c763,SPC-000810,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
68564c0f5f99f8e01e8684944b819c4d0e92e9af,SPC-001316,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
686377cb0f437ba821317ebddcdbb40ec910f4a0,SPC-001344,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
68761d09148dcecb56cb6753385e2328b8d88595,SPC-001399,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
687e051f10b8bc78434eb2cd9f68746aa1bfceda,SPC-001200,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
6884377aee99e1b41f199cd5472d61a7937b4be4,SPC-001171,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
6973baff63334134ee01e3ec6bfe63bc12496496,SPC-000294,Cubic,Fd-3m,7,1.0,0.0
69c15d755c790be5e66bbf1c4e2c53d48c8db62f,SPC-000352,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
6a553992b18315bbb13f542c473477ddd666ccaf,SPC-000173,Cubic,Ia-3d,7,1.0,0.0
6a8adf43fd79dccf99987d7e6b855e87627c11cd,SPC-000217,Cubic,Fd-3m,7,1.0,0.0
6a91d91c541430ebb689b96e2d13f8be3a29e8d9,SPC-000764,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
6aa7471fa2af4573e543919168b8d98906fafb0e,SPC-000310,Cubic,Fd-3m,7,1.0,0.0
6ac32fd741c981a879a87dfe7f66c1263c0da02d,SPC-001111,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
6adfcc16e73edf8a67b826efc764e3ec97fba210,SPC-000809,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
6ae904dc29e1750778d099d5d6b7896b67f398d0,SPC-000306,Cubic,Fd-3m,7,1.0,0.0
6b0264bf4fa7ceaf9ae56d3d227d6df297bbf470,SPC-001106,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
6b1e022a6795fd9c3fa26e3367d074e571c813f7,SPC-001081,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
6b2500b33453659eac9085e004ec5b9e68c587fd,SPC-000910,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
6b5698f5b2ce680b54bbd0b78e4a48af0e324dc0,SPC-000223,Cubic,Fd-3m,7,1.0,0.0
6b58d8c27dec59f7dea8c9bb6e500a88b29457fd,SPC-000428,Tetragonal,I4_1/amd,4,0.5714285714285714,0.4285714285714286
6b837ed4aa1e3d255b6ffabaa650695732e98bff,SPC-000373,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
6b8a86dad57f05fb8c7ae4b7ea3902668be0a946,SPC-000005,Cubic,Ia-3d,7,1.0,0.0
6b9fa7f7c454fbbb062b8c018805ff20b54a31f2,SPC-001762,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6babef00022c87e92f82cc05618ec15fef01d638,SPC-000963,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
6bb05709be944026f8ac66b5a0e0f032687a90db,SPC-000779,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
6bbe31b14015cc8438357c510a3705b884571acc,SPC-001379,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6c68a0b9ad0c284bd46443289b7c0eb69ab74359,SPC-001258,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
6c7525fd0640407dddddf477ad3c79b40593f7df,SPC-001744,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6c80b1b92a27d744cf54df94bec478447faaf47c,SPC-000484,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
6cb9a0ebdf882f2c3930be54865f34eea58f1640,SPC-000174,Cubic,Ia-3d,7,1.0,0.0
6cdc385285de80cb4f3b38548f6773c6a7a937e0,SPC-001657,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6cdcb06ccf1d7218f2363354a1cddbb20972be92,SPC-000063,Cubic,Ia-3d,7,1.0,0.0
6ce67aed74493a9c797af128656ce3180940f672,SPC-001769,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6dd1641d0704438f4eb58136056a453291f56db9,SPC-000443,Tetragonal,I4_1/amd,4,0.5714285714285714,0.4285714285714286
6dd752624765ad6908089604e9335bedeefc245f,SPC-000589,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
6df9a79cd972aa0bef0e43a2200afa4365fbd9ce,SPC-001407,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6e0a7b6b8e632863d38ad7661aec098749777d4a,SPC-001789,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6e0af98c9f8bbfebdf8356a9f10a619c7074fb0d,SPC-000524,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
6e110f1a3d514a3c4f68490e871a8b76f08915e6,SPC-001788,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6e235e98415a389fba7967310859e2e33ab2110f,SPC-001503,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6e25c8691e665b501f6a0b330117a65e6876a513,SPC-000116,Cubic,Ia-3d,7,1.0,0.0
6e4303f26ec252bbf3b7464f14c61e5433ea8383,SPC-001253,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
6ea05fee787d72fe43c7d9dd04ccc09ac73ed27c,SPC-001432,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6eb37dd260a7193e1e0d9323fdcdc729d7c6e6e2,SPC-000724,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
6eb9fe50cda4bbbffd569c2328a8dde467975acf,SPC-000933,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
6ed1a87db65195cb340c8b013f72183c93eabeb6,SPC-000694,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
6f193206ce25fc1057d9f6e7e408f824dfd2abfa,SPC-001038,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
6f2fc9d11f25f18df4f3e269456eade250fe1c10,SPC-000097,Cubic,Ia-3d,7,1.0,0.0
6f6c72578b152939ea03a84040a2a28bf2826872,SPC-001506,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6f6f519765fe996c7e2a1ba5530802f36c08f674,SPC-000986,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
6f709ed81b32f2af4a2f0973a27bed62f29494de,SPC-001034,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
6f8e292a04651be29ac6038025c4bbdc46507b81,SPC-000536,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
6fa8e1af6938cf3fcd215d39c27cd40adfd6834f,SPC-000092,Cubic,Ia-3d,7,1.0,0.0
6fab5e7c730349540abae2c246cf3e38b5d29b67,SPC-001574,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
6fb2db6c15125e0f39fca526d0187709016fc088,SPC-001519,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6fc03afecee7711e1e15d380ec780ba81cd22420,SPC-000191,Cubic,Ia-3d,7,1.0,0.0
6fdaeae211de84d5b0ffd56944b06743b8342d83,SPC-001565,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
